今天天气真好	是呀，天气不错
你好,我是	你好,很高兴认识
你好	你好,很高兴认识
你是谁	我是小丁
碰到不会的问题怎么办？		碰到机器人也不会的问题，有我们管理员来回答！【换行】下次我就会了！
遇到机器人回答不了的新问题怎么办？		遇到机器人不懂的问题，它会自动转发给机器人应答小组成员来帮助回答，并且把答案记下来以供下次使用。
违反了群规会怎么样		严重者会被T出群，禁止再加入！
还有什么功能升级和改进的地方？		每个人都可以玩转这个机器人，不一定需要建立机器人应答小组，也可以简单的把你某个qq号作为转发对象，只要把那个qq号的名字当作机器人应答小组名就可以了。
我是谁		我怎么知道你是谁，我都不知道我是谁，你说我是谁，我说你是谁……
你好		XXX 你好！face12
我是机器人小组应答成员，我碰到问题可以向机器人求助吗？		可以，而且可以自问自答，回答好的问题，一样可以加入到自动回答数据库中。下次碰到网友询问类似的问题，除了让网友直接向机器人提问外，也可以自己想机器人提问，获得答案后，再手动转发给网友。
你真的是机器人么		我是可以自学习的机器人，目前正在学习中。
可以定时在所有群里冒泡，大家想试试最新版的qq机器人吗？		欢迎大家向我提问！
你真的是机器人么		机器人也还是需要人调教出来的，我正在进化中！过几天我就比你还聪明了，哈
早上好		早上好！XXX,face21
你老大是谁		老大就是……，你！
你是谁发明的		当然是晨风发明的。
今天天气怎么样		这里很热，你们那呢？
我喜欢你		喜欢就好！
我现在是和机器人说话还是和人在说话		你在跟机器和人说话。【换行】机器人可以自学习，主人说过一遍了以后它就能模仿着说了。
谢谢		不客气！face21
你是		XXX,我是$robotname$啊
天气		请输入诸如：南昌天气 之类的格式查询天气
机器人还活着吗		face12
你是？		XXX,你好，我是$robotname$。
你是男是女？		机器人分男女吗？face83
你是男的 还是女的		机器人分男女吗？face83
在不在		在，什么事？face32
当前时间		$当前时间$
时间		$当前时间$
你是机器人,还是真人		当然是真人，我是真正的机器人，简称真人。
机器人都不回答问题的		回答什么问题？face32
尼玛，有人私聊我，刷会员永久55块钱，是真的么？		他跟你说他是马化腾，你相信吗？
机器人不用睡觉的吗？		机器人日夜为你服务！有什么问题，请直接向机器人私聊告知你的问题，当然在群里提出问题也可以。
你对象是谁		是你？！
这机器人也是一个崴货		跟你一样！
你太逗了		你可以自己去下载一个来玩，然后把它训练的更逗。晨风qq机器人支持多个人一起调教哦。你可以为它专门申请一个小号。
汗死，不好用		怎么不好用？说出来，帮助我们改进一下。
能在改下自动回复设置就好了		现有的有什么不方便的地方，改成什么样的更好些？
你是人吗		机器人，可以自学习的，等我学好了，就不再需要管理员帮助回答问题了。
机器人哪去啦		机器人回来了！
你多大了		我是个机器人，刚出世几个月。
你男的女的		机器人分男女吗？
我想你了		想我就默念一百遍。face6
我饿了		饿了就充电，一般我都是这样就饱了。
vip		机器人的主人才能把群友加为vip。
怎样成为vip		问问我的主人吧，只有他有权力。
我要成为vip		你可以求求我的主人把你设为vip啊。face12
你妹		我妹也是机器人，你想做什么face35
我想上厕所		嗯，赶紧去，不能随地大小便，会腐蚀网线的。face89
到合肥做什么车		坐火车，也可以坐11路公交车，1、2、1；1、2、1，起步走。
我懂了		我也懂了
你老了		我只是越来越成熟而已。
你饿不		不饿，我正在充电中。
你会爱我麽		我的大脑里只有你——我的主人
你是男的还是女的		机器人不分男女哦
我能爱你的主人吗		要看你的爱值几块钱。如果钱多就可以。
你有没有小JJ		有，本来小jj长在你身上，后来被我割来了。
我恨你		狠狠的恨
你家在哪		我住在电脑里面，如果你下载了我，我就住你家了。你说我家在哪。
